NCES.School.ID,Low.Grade.,High.Grade.,School.Name,District,County.Name.,Street.Address,City,Charter,Class.Name,Duration,Description.of.course,Source,Year.of.Course.Catalog,Link.to.School.Website,Link.to.Course.Catalog,Notes,Grad,Type,Status,OneLineAddress,,reclat,long
440003000001,9,12,Barrington High School,Barrington,BRISTOL COUNTY,220 Lincoln Avenue,Barrington,No,Personal Finance I,0.5,"Personal Finance I is designed to help students understand the impact of individual choices on occupational goals and future earnings potential. This course will provide a fundamental understanding for making informed personal decisions related to career exploration, budgeting, banking, buying/leasing a vehicle, and building and using credit. This half credit course can be used to fulfill math requirement.",Program of Studies,2017-2018,http://www.barringtonhigh.org/,https://drive.google.com/file/d/1AepXuVdDDLUeSaQt9V56T93gSmPC4mwz/view,,R,S,Gold Standard,220 Lincoln Avenue Barrington  ,,41.7466901,-71.3194833
440000800297,9,12,BEACON Charter School,Beacon Charter School,PROVIDENCE COUNTY,320 Main Street,Woonsocket,Yes,,,,,,https://www.beaconart.org,https://www.beaconart.org/course_catalog.php,School Website,N,NA,Missing Info,320 Main Street Woonsocket  ,,42.0051213,-71.5127439
440003600246,9,12,Blackstone Academy Charter,Blackstone Academy,Providence County,334 Pleasant Street,Pawtucket,Yes,,,,,,http://www.blackstoneacademy.org,,No catalog available,F,NA,Missing Info,334 Pleasant Street Pawtucket  ,,41.8690171,-71.3847776
440006500009,9,12,Mt. Hope High School,Bristol Warren,BRISTOL COUNTY,199 Chestnut Street,Bristol,No,Life Skills Mathematics,1,"This course covres skills relating to the area of budgeting, baking, credit and utilizing charts, tables and graphs. The focus of the course is to provide students with practical application of math skills.",Program of Studies,2018-2019,http://www.bwrsd.org/pages/MtHope,https://drive.google.com/file/d/0BxbbD8fPgnq1S0dtc1hCVVFJdlNfYlpRdzBiNGtDNGxpNzJR/view,,E,E,Silver Standard,199 Chestnut Street Bristol  ,,41.6873999,-71.2686824
440009000019,9,12,Burrillville High School,Burrillville,PROVIDENCE COUNTY,425 East Avenue,Harrisville,No,Financial Mathematics,0.5,"This one semester course introduces the student to the broad range of mathematical applications in the spheres of business, economics, accountancy and engineering. Topics discussed will include the mathematics of buying and selling, banking services, taxation, mortgage and real estate mathematics, and financial planning. Emphasis will be placed on developing proficiency in computer spreadsheet software as a means to solve problems, present data, and facilitate the investigation of a variety of possible outcomes.",Program of Studies,2017-2018,http://bhs.bsd-ri.net/,http://bhs.bsd-ri.net/sites/bhs.bsd-ri.net/files/infopage/2017-2018%20Program%20of%20Studies_6.pdf,,E,E,Silver Standard,425 East Avenue Harrisville  ,,41.968278,-71.662278
440012000026,9,12,Central Falls Sr High,Central Falls,PROVIDENCE COUNTY,24 Summer Street,Central Falls,No,Financial Literacy,0.5,"Financial Literacy is a course designed around the basics of how money works in the world through a combination of the awareness, knowledge, skill, attitude, and behavior necessary to make financial decisions throughout life covering the following topics: Opportunity Costs/Decision Making, Budgeting, Banking and Saving, Credit and Loans, Paying for Higher Education, Renting/Leasing vs Buying (houses, cars, etc), Taxes (including how to fill out basic tax forms), and Insurance.",,,http://cfhs.cfschools.net/,,Survey Result,E,S,Silver Standard,24 Summer Street Central Falls  ,,41.8868898,-71.3912923
440015000029,9,12,Chariho High School,Chariho,WASHINGTON COUNTY,453 Switch Road,Wood River Junction,No,Personal Finance 1,0.5,"This course focuses on the studentâ€™s role as a citizen, student, family member, consumer, and active participant in the work and business world. Students will discuss the various economic and financial responsibilities necessary for success in todayâ€™s society. Students will learn about employment benefits and incentives, how to calculate pay income, money management, banking, record keeping, how to file income taxes, and establishing and using credit responsibly. In addition, students will complete an independent online project which reinforces topics covered in the course as well as information on paying for college, completing the FAFSA, and the pros and cons of renting or owning a home. ",Program of Studies,2018-2019,https://www.chariho.k12.ri.us/chs,https://www.chariho.k12.ri.us/sites/default/files/chs_program_of_studies_18-19_3.pdf,,E,S,Silver Standard,453 Switch Road Wood River Junction  ,,41.4500097,-71.6963463
440015000286,3,12,The R.Y.S.E School,Chariho,Washington County,459 Switch Road,Wood River Junction,No,Personal Finance I ,0.5,"This course focuses on the studentâ€™s role as a citizen, family member, consumer, and active participant in the work and business world. Students will discuss the various economic and financial responsibilities necessary for success in todayâ€™s society. Students will learn about employment benefits and incentives, how to calculate pay income, money management, banking, record keeping, how to file income taxes, and establishing and using credit responsibly. In addition, students will complete an independent online project which reinforces topics covered in the course as well as information on paying for college, completing the FASFA, and the pros and cons of renting or owning a home. This course is recommended for students in Grades 9-12. Students will have opportunities to produce work that may meet the requirements for Expectations 5 and 9 of the Graduation Portfolio.",Program of Studies,2018-2019,https://www.chariho.k12.ri.us/rys,https://www.chariho.k12.ri.us/sites/default/files/chs_program_of_studies_18-19_4.pdf,,E,S,Silver Standard,459 Switch Road Wood River Junction  ,,41.4483362,-71.6955843
440021000032,9,12,Coventry High School,Coventry,KENT COUNTY,40 Reservoir Road,Coventry,No,Math of Finance,1,"Students will study topics relating to finance which involve earning, saving, spending, and investing. These topics include earning wages, calculating taxes, commission and piecework based jobs. In addition students learn about budgeting, balancing and utilizing checking accounts, building and maintaining savings accounts, and using charge accounts effectively. Retail sales, personal loans, operating and maintaining an automobile, and purchasing real estate complete the consumer unit.",16-17 Math_of_Finance_Syllabus,2016-2017,https://sites.google.com/a/coventryschools.net/coventryhsri/,https://docs.google.com/document/d/1s1N0wA65iSydQd69TogyEDNpO4279JnlghXM_ak4_24/view,Elective Course,E,E,Silver Standard,40 Reservoir Road Coventry  ,,41.6831248,-71.5879226
440024000044,9,12,Cranston High School East,Cranston,PROVIDENCE COUNTY,899 Park Avenue,Cranston,No,Business Mathematics,1,"This course will provide students with the basic experiences and skills in applying mathematics to business situations. Emphasis will be on payroll, borrowing and investing, consumer purchases, and business management. Students will receive practical training in personal financial management and use of banking services. The curriculum and instruction of this Mathematics course correlates with the SCANS competencies that reflect the CHSW Mission Statements and the Expectations for student learning in basic reading, math, listening and speaking skills, thinking skills and displays personal qualities of responsibility, integrity and honesty",High School Course Catalog,2016 - 2017,http://cpsed.net/chse/,http://cpsed.net/program/progofstudies.pdf,Elective Course,E,E,Gold Standard,899 Park Avenue Cranston  ,,41.7802894,-71.4377924
