ZIP,Pipedrive.Contacts,ZIP.1,Number.of.Schools,HotSpot,lat,long
1002,1,1002,1,0,42.36406,-72.458741
1020,3,1020,2,1,42.172602,-72.562073
1028,1,1028,1,0,42.062378,-72.498111
1057,1,1057,1,0,42.093596,-72.321494
1060,1,1060,1,0,42.321488,-72.630588
1062,1,1062,1,0,42.323033,-72.701789
1069,3,1069,1,1,42.188862,-72.30648
1083,1,1083,1,0,42.203642,-72.194599
1085,1,1085,1,0,42.153503,-72.771602
1089,3,1089,1,1,42.125451,-72.649734
1105,1,1105,1,0,42.099958,-72.580765
1106,1,1106,1,0,42.047565,-72.57113
1109,1,1109,1,0,42.119674,-72.549726
1201,3,1201,1,1,42.448236,-73.273727
1226,2,1226,1,0,42.481119,-73.135073
1247,2,1247,1,0,42.698526,-73.0843
1360,1,1360,1,0,42.677091,-72.453876
1364,1,1364,1,0,42.605437,-72.292074
1370,1,1370,1,0,42.593376,-72.726927
1430,1,1430,1,0,42.657005,-71.923442
1436,1,1436,1,0,42.602059,-72.087015
1450,1,1450,1,0,42.61176,-71.565269
1453,1,1453,1,0,42.519967,-71.763319
1460,6,1460,1,1,42.535931,-71.490569
1475,1,1475,1,0,42.66816,-72.055644
1501,1,1501,1,0,42.198708,-71.846006
1507,1,1507,1,0,42.133935,-71.968025
1510,2,1510,1,0,42.411887,-71.690005
1518,1,1518,1,0,42.127477,-72.118818
1519,1,1519,1,0,42.203404,-71.679739
1520,3,1520,1,1,42.336372,-71.850626
1532,2,1532,1,0,42.323342,-71.646236
1545,1,1545,1,0,42.284767,-71.714228
1568,2,1568,1,0,42.176526,-71.603588
1581,1,1581,1,0,42.268426,-71.613309
1588,1,1588,1,0,42.118794,-71.672494
1604,2,1604,1,0,42.253254,-71.767957
1701,2,1701,2,0,42.319587,-71.4428
1702,1,1702,1,0,42.282379,-71.436621
1720,1,1720,1,0,42.483953,-71.438495
1721,1,1721,1,0,42.257755,-71.473526
1730,1,1730,1,0,42.499295,-71.281889
1740,4,1740,1,1,42.439941,-71.601879
1746,1,1746,1,0,42.195951,-71.45343
1747,4,1747,1,1,42.123007,-71.531404
1752,4,1752,3,1,42.349617,-71.547214
1760,2,1760,1,0,42.284822,-71.348811
1772,1,1772,1,0,42.302877,-71.530828
1801,2,1801,1,0,42.488769,-71.154438
1810,3,1810,1,1,42.648044,-71.161751
1821,2,1821,2,0,42.54933,-71.251725
1826,1,1826,1,0,42.679723,-71.30068
1830,1,1830,1,0,42.796313,-71.053436
1832,1,1832,1,0,42.791114,-71.132859
1833,2,1833,1,0,42.726188,-70.983328
1843,1,1843,1,0,42.689974,-71.160383
1844,1,1844,1,0,42.742526,-71.179149
1852,2,1852,1,0,42.632972,-71.295613
1863,3,1863,1,1,42.63378,-71.38947
1864,2,1864,1,0,42.578222,-71.084398
1879,1,1879,1,0,42.667762,-71.42882
1880,1,1880,1,0,42.501524,-71.067489
1887,3,1887,1,1,42.564647,-71.164516
1902,1,1902,1,0,42.471039,-70.941535
1907,1,1907,1,0,42.474145,-70.906597
1915,1,1915,1,0,42.570665,-70.867583
1921,1,1921,1,0,42.683108,-71.01833
1923,2,1923,1,0,42.574174,-70.950516
1930,1,1930,1,0,42.61991,-70.681824
1938,1,1938,1,0,42.68386,-70.842666
1945,2,1945,1,0,42.501021,-70.858841
1960,3,1960,1,1,42.534279,-70.969782
1970,1,1970,1,0,42.524435,-70.870859
1982,1,1982,1,0,42.626223,-70.85723
1985,1,1985,1,0,42.799565,-70.964428
2025,2,2025,1,0,42.236444,-70.814309
2035,1,2035,1,0,42.061338,-71.245802
2038,3,2038,2,1,42.084858,-71.410571
2048,1,2048,1,0,42.017302,-71.21641
2062,1,2062,1,0,42.187364,-71.195971
2072,3,2072,1,1,42.119006,-71.10365
2081,2,2081,1,0,42.14669,-71.270532
2115,2,2115,1,0,42.337105,-71.105696
2116,2,2116,1,0,42.350579,-71.076397
2122,1,2122,1,0,42.291413,-71.042158
2124,1,2124,1,0,42.285805,-71.070571
2127,1,2127,1,0,42.334992,-71.039093
2128,3,2128,1,1,42.361203,-71.00705
